code_insee,commune,departement,code_departement,domain,domain_confidence,email_pattern,email_pattern_confidence,emails_domain_samples,drh_prenom,drh_nom,drh_poste,drh_confidence,drh_source_url,drh_email_public,drh_email_reconstitue,drh_email_confidence,drh_reason,dgs_prenom,dgs_nom,dgs_poste,dgs_confidence,dgs_source_url,dgs_email_public,dgs_email_reconstitue,dgs_email_confidence,dgs_reason,population
77064,Changis-sur-Marne,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,
77067,Charny,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,11222
77069,Château-Landon,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,2162
77074,Chauconin-Neufmontiers,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,
77079,Chevry-Cossigny,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,6497
77083,Clutots,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,27451
77085,Collegien,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,4130
77088,Conches-sur-Gondoire,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,2170
77092,Coupvray,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,
77096,Courquetaine,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,2633
77099,Courtry,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,3149
77100,Coutencon,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,4207
77105,Croissy-Beaubourg,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,
77107,Crouy-sur-Ourcq,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,3503
77108,Dammarie-les-Lys,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,54620
77111,Dampierre,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,7771
77114,Égreville,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,4075
77118,Éverly,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,13353
77121,Favières,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,3354
77122,Férolles-Attilly,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,23350
77127,Fontenailles,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,2005
77128,Fontenay-Trésigny,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,2064
77131,Fossoy,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,16374
77132,Fretoy,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,3066
77139,Gironville,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,7330
77142,La Grand-Paroisse,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,4973
77143,Grandpuits-Bailly-Carrois,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,5446
77146,Grigy,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,2018
